gene	transcript	protein_change	score	pvalue	qvalue	info
ALOXE3	NA	NA	NA	NA	1	NA
ALPK1	NA	NA	NA	NA	1	NA
ALPK2	NA	NA	NA	NA	1	NA
ALPK3	NA	NA	NA	NA	1	NA
ALX1	NA	NA	NA	NA	1	NA
ALYREF	NA	NA	NA	NA	1	NA
AMER1	NA	NA	NA	NA	1	NA
AMER2	NA	NA	NA	NA	1	NA
AMER3	NA	NA	NA	NA	1	NA
AMIGO3	NA	NA	NA	NA	1	NA
AMOTL2	NA	NA	NA	NA	1	NA
AMPD1	NA	NA	NA	NA	1	NA
AMPH	NA	NA	NA	NA	1	NA
ANAPC1	NA	NA	NA	NA	1	NA
ANAPC2	NA	NA	NA	NA	1	NA
ANAPC5	NA	NA	NA	NA	1	NA
ANK1	NA	NA	NA	NA	1	NA
ANK2	NA	NA	NA	NA	1	NA
ANK3	NA	NA	NA	NA	1	NA
ANKAR	NA	NA	NA	NA	1	NA
ANKHD1	NA	NA	NA	NA	1	NA
ANKIB1	NA	NA	NA	NA	1	NA
ANKLE2	NA	NA	NA	NA	1	NA
ANKRD11	NA	NA	NA	NA	1	NA
ANKRD12	NA	NA	NA	NA	1	NA
ANKRD17	NA	NA	NA	NA	1	NA
ANKRD26	NA	NA	NA	NA	1	NA
ANKRD27	NA	NA	NA	NA	1	NA
ANKRD28	NA	NA	NA	NA	1	NA
ANKRD30A	NA	NA	NA	NA	1	NA
ANKRD35	NA	NA	NA	NA	0.781158908756076	NA
ANKRD36	NA	NA	NA	NA	1	NA
ANKRD50	NA	NA	NA	NA	1	NA
ANKRD52	NA	NA	NA	NA	1	NA
ANKRD55	NA	NA	NA	NA	1	NA
ANKS1A	NA	NA	NA	NA	1	NA
ANKS1B	NA	NA	NA	NA	1	NA
ANKZF1	NA	NA	NA	NA	1	NA
ANLN	NA	NA	NA	NA	1	NA
ANO1	NA	NA	NA	NA	1	NA
ANO4	NA	NA	NA	NA	1	NA
ANO5	NA	NA	NA	NA	1	NA
ANO6	NA	NA	NA	NA	1	NA
ANO8	NA	NA	NA	NA	1	NA
ANO9	NA	NA	NA	NA	1	NA
ANPEP	NA	NA	NA	NA	1	NA
AOAH	NA	NA	NA	NA	1	NA
AOC1	NA	NA	NA	NA	1	NA
AP1B1	NA	NA	NA	NA	1	NA
AP1G2	NA	NA	NA	NA	1	NA
AP2A1	NA	NA	NA	NA	1	NA
AP2B1	NA	NA	NA	NA	1	NA
AP3B1	NA	NA	NA	NA	1	NA
AP3B2	NA	NA	NA	NA	1	NA
AP3D1	NA	NA	NA	NA	1	NA
APBA2	NA	NA	NA	NA	1	NA
APBB1IP	NA	NA	NA	NA	1	NA
APC	NA	NA	NA	NA	1	NA
APLP1	NA	NA	NA	NA	1	NA
APLP2	NA	NA	NA	NA	1	NA
APOB	NA	NA	NA	NA	1	NA
APOBEC4	NA	NA	NA	NA	1	NA
APPL1	NA	NA	NA	NA	1	NA
APPL2	NA	NA	NA	NA	1	NA
AQPEP	NA	NA	NA	NA	1	NA
AQR	NA	NA	NA	NA	1	NA
ARAP1	NA	NA	NA	NA	1	NA
ARAP2	NA	NA	NA	NA	1	NA
AREL1	NA	NA	NA	NA	1	NA
ARFGEF1	NA	NA	NA	NA	1	NA
ARFGEF2	NA	NA	NA	NA	1	NA
ARHGAP19	NA	NA	NA	NA	1	NA
ARHGAP20	NA	NA	NA	NA	1	NA
ARHGAP21	NA	NA	NA	NA	1	NA
ARHGAP29	NA	NA	NA	NA	1	NA
ARHGAP30	NA	NA	NA	NA	1	NA
ARHGAP31	NA	NA	NA	NA	1	NA
ARHGAP32	NA	NA	NA	NA	1	NA
ARHGAP33	NA	NA	NA	NA	1	NA
ARHGAP35	NA	NA	NA	NA	1	NA
ARHGAP39	NA	NA	NA	NA	1	NA
ARHGAP5	NA	NA	NA	NA	1	NA
ARHGAP9	NA	NA	NA	NA	1	NA
ARHGEF10L	NA	NA	NA	NA	1	NA
ARHGEF11	NA	NA	NA	NA	1	NA
ARHGEF12	NA	NA	NA	NA	1	NA
ARHGEF17	NA	NA	NA	NA	1	NA
ARHGEF18	NA	NA	NA	NA	1	NA
ARHGEF28	NA	NA	NA	NA	1	NA
ARHGEF5	NA	NA	NA	NA	1	NA
ARHGEF6	NA	NA	NA	NA	1	NA
ARHGEF7	NA	NA	NA	NA	1	NA
ARID1A	NA	NA	NA	NA	1	NA
ARID1B	NA	NA	NA	NA	0.999015675432332	NA
ARID2	NA	NA	NA	NA	1	NA
ARID4A	NA	NA	NA	NA	1	NA
ARID4B	NA	NA	NA	NA	1	NA
ARIH2	NA	NA	NA	NA	1	NA
ARMC3	NA	NA	NA	NA	1	NA
ARMC4	NA	NA	NA	NA	1	NA
ARNT	NA	NA	NA	NA	1	NA
ARVCF	NA	NA	NA	NA	1	NA
ASAP1	NA	NA	NA	NA	1	NA
ASAP2	NA	NA	NA	NA	1	NA
ASCC3	NA	NA	NA	NA	1	NA
ASH1L	NA	NA	NA	NA	1	NA
ASNSD1	NA	NA	NA	NA	1	NA
ASPM	NA	NA	NA	NA	1	NA
ASTN1	NA	NA	NA	NA	1	NA
ASTN2	NA	NA	NA	NA	1	NA
ASXL1	NA	NA	NA	NA	1	NA
ASXL2	NA	NA	NA	NA	1	NA
ASXL3	NA	NA	NA	NA	1	NA
ATAD2	NA	NA	NA	NA	1	NA
